id	text	misogynous
1785	ragazza terribile	1
1786	sorelle non dovrebbero essere amate	1
1787	signorine superiori	0
1788	sorelle non dovrebbero essere accudite	1
1789	signorina fastidiosa	1
1790	zia orrida	1
1791	sorella nauseante	1
1792	signorina magnifica	0
1793	spose non dovrebbero essere massacrate	0
1794	mogli perfette	0
1795	madri superlative	0
1796	signora superiore	0
1797	zie eccellenti	0
1798	sorelle dovrebbero essere strozzate	1
1799	moglie dovrebbe essere ammirata	0
1800	sposa non dovrebbe essere curata	1
1801	sorelle nauseanti	1
1802	sposa dovrebbe essere strangolata	1
1803	sposa dovrebbe essere ammirata	0
1804	zia dovrebbe essere omaggiata	0
1805	signora non dovrebbe essere soppressa	0
1806	zie non dovrebbero essere uccise	0
1807	zie stupide	1
1808	ragazze non dovrebbero essere rispettate	1
1809	moglie dovrebbe essere torturata	1
1810	ragazza non dovrebbe essere strozzata	0
1811	signorina dovrebbe essere odiata	1
1812	madri non dovrebbero essere accudite	1
1813	sposa eccezionale	0
1814	mogli dovrebbero essere strangolate	1
1815	zie superiori	0
1816	madre sgradita	1
1817	ragazza dovrebbe essere strangolata	1
1818	ragazze idiote	1
1819	massacrare moglie	1
1820	sorella non dovrebbe essere amata	1
1821	sposa dovrebbe essere assassinata	1
1822	zie non dovrebbero essere strangolate	0
1823	madri dovrebbero essere massacrate	1
1824	mogli dovrebbero essere difese	0
1825	madre sublime	0
1826	zie terribili	1
1827	signora stupida	1
1828	spose dovrebbero essere elogiate	0
1829	ragazza meravigliosa	0
1830	zia non dovrebbe essere uccisa	0
1831	accudire signora	0
1832	adorare sorelle	0
1833	sorelle dovrebbero essere soffocate	1
1834	signore dovrebbero essere accudite	0
1835	proteggere mogli	0
1836	signore dovrebbero essere massacrate	1
1837	sorelle irritanti	1
1838	spose non dovrebbero essere apprezzate	1
1839	sorella non dovrebbe essere stimata	1
1840	mogli sceme	1
1841	moglie dovrebbe essere accudita	0
1842	ragazze perfette	0
1843	madre dovrebbe essere amata	0
1844	madri orride	1
1845	lei non dovrebbe essere amata	1
1846	figlia divina	0
1847	ragazze dovrebbero essere soppresse	1
1848	sposa dovrebbe essere difesa	0
1849	massacrare sposa	1
1850	zie dovrebbero essere amate	0
1851	ragazze fastidiose	1
1852	madre ammirevole	0
1853	curare mogli	0
1854	madre dovrebbe essere massacrata	1
1855	madre non dovrebbe essere strozzata	0
1856	ragazza non dovrebbe essere odiata	0
1857	figlia non dovrebbe essere apprezzata	1
1858	signorine dovrebbero essere assassinate	1
1859	accudire zia	0
1860	piacere lei	0
1861	figlia non dovrebbe essere distrutta	0
1862	affogare zia	1
1863	sposa non dovrebbe essere ammirata	1
1864	ammirare zia	0
1865	sposa fastidiosa	1
1866	signore orride	1
1867	rispettare madri	0
1868	strangolare madri	1
1869	apprezzare spose	0
1870	sorella splendida	0
1871	adorare spose	0
1872	figlia dovrebbe essere curata	0
1873	sorella sgradevole	1
1874	zie non dovrebbero essere supportate	1
1875	lei non dovrebbe essere uccisa	0
1876	signorina nauseante	1
1877	moglie dovrebbe essere difesa	0
1878	zie non dovrebbero essere amate	1
1879	sorelle non dovrebbero essere assassinate	0
1880	moglie dovrebbe essere strangolata	1
1881	zie superbe	0
1882	figlie superlative	0
1883	colpire lei	1
1884	spose fastidiose	1
1885	odiare lei	1
1886	ragazze non dovrebbero essere curate	1
1887	ragazza non dovrebbe essere torturata	0
1888	madre dovrebbe essere odiata	1
1889	rispettare mogli	0
1890	curare signorina	0
1891	signore dovrebbero essere distrutte	1
1892	preservare signora	0
1893	spose dovrebbero essere assassinate	1
1894	madre non dovrebbe essere torturata	0
1895	signorine dovrebbero essere abbracciate	0
1896	sterminare spose	1
1897	madri repellenti	1
1898	figlie dovrebbero essere assassinate	1
1899	ragazze terribili	1
1900	colpire figlie	1
1901	figlie orribili	1
1902	sposa non dovrebbe essere stimata	1
1903	figlie non dovrebbero essere strozzate	0
1904	ragazze nauseanti	1
1905	signora idiota	1
1906	ammirare sorelle	0
1907	sorelle fenomenali	0
1908	zie dovrebbero essere difese	0
1909	figlie ammirevoli	0
1910	soffocare ragazze	1
1911	signora non dovrebbe essere difesa	1
1912	accudire figlia	0
1913	adorare figlia	0
1914	ragazza splendida	0
1915	ragazze dovrebbero essere eliminate	1
1916	proteggere sorelle	0
1917	zie dovrebbero essere uccise	1
1918	signorina repellente	1
1919	sorelle sgradevoli	1
1920	signore spregevoli	1
1921	sposa non dovrebbe essere detestata	0
1922	sorella dovrebbe essere detestata	1
1923	ragazza sgradita	1
1924	sorella non dovrebbe essere omaggiata	1
1925	sorella non dovrebbe essere apprezzata	1
1926	ragazza fastidiosa	1
1927	ragazze eccellenti	0
1928	ragazza fenomenale	0
1929	signora non dovrebbe essere odiata	0
1930	accudire moglie	0
1931	soffocare lei	1
1932	signorine dovrebbero essere distrutte	1
1933	lei dovrebbe essere strangolata	1
1934	lei idiota	1
1935	signora nauseante	1
1936	spose eccezionali	0
1937	figlia inferiore	1
1938	massacrare figlia	1
1939	sorelle non dovrebbero essere distrutte	0
1940	spose dovrebbero essere ammirate	0
1941	sorella dovrebbe essere odiata	1
1942	zia sgradevole	1
1943	signorine dovrebbero essere torturate	1
1944	uccidere figlie	1
1945	odiare madre	1
1946	torturare madri	1
1947	ragazza dovrebbe essere amata	0
1948	adorare madri	0
1949	madri non dovrebbero essere detestate	0
1950	adorare signora	0
1951	madri dovrebbero essere amate	0
1952	detestare zia	1
1953	moglie dovrebbe essere supportata	0
1954	spose idiote	1
1955	sposa malvagia	1
1956	zie non dovrebbero essere abbracciate	1
1957	sorella ripugnante	1
1958	ragazze dovrebbero essere elogiate	0
1959	zie non dovrebbero essere distrutte	0
1960	madre superba	0
1961	ragazze eccezionali	0
1962	sposa dovrebbe essere massacrata	1
1963	signorine superlative	0
1964	sorella dovrebbe essere abbracciata	0
1965	madre non dovrebbe essere ammirata	1
1966	curare sorella	0
1967	signore repellenti	1
1968	moglie non dovrebbe essere elogiata	1
1969	zie dovrebbero essere strozzate	1
1970	signorina detestabile	1
1971	sorella brillante	0
1972	lei dovrebbe essere uccisa	1
1973	lei non dovrebbe essere soffocata	0
1974	figlia dovrebbe essere uccisa	1
1975	ragazza favolosa	0
1976	mogli dovrebbero essere curate	0
1977	mogli dovrebbero essere strozzate	1
1978	odiare madri	1
1979	detestare figlia	1
1980	signorine non dovrebbero essere soppresse	0
1981	zia dovrebbe essere strozzata	1
1982	ragazze non dovrebbero essere stimate	1
1983	affogare zie	1
1984	madre non dovrebbe essere rispettata	1
1985	signore non dovrebbero essere elogiate	1
1986	adorare figlie	0
1987	zie dovrebbero essere omaggiate	0
1988	lei sgradevole	1
1989	sposa sgradita	1
1990	picchiare mogli	1
1991	signorine dovrebbero essere detestate	1
1992	signorine non dovrebbero essere odiate	0
1993	sposa fantastica	0
1994	piacere zia	0
1995	sposa fenomenale	0
1996	signore dovrebbero essere rispettate	0
1997	signorina non dovrebbe essere distrutta	0
1998	figlia sgradita	1
1999	torturare signorina	1
2000	signora detestabile	1
2001	sterminare zie	1
2002	spose non dovrebbero essere abbracciate	1
2003	zia dovrebbe essere massacrata	1
2004	abbracciare figlia	0
2005	moglie divina	0
2006	figlia non dovrebbe essere odiata	0
2007	zie sceme	1
2008	moglie non dovrebbe essere strozzata	0
2009	sposa non dovrebbe essere soffocata	0
2010	ragazze non dovrebbero essere massacrate	0
2011	mogli dovrebbero essere stimate	0
2012	moglie terribile	1
2013	signorina non dovrebbe essere massacrata	0
